id,audit_modifiedBy,audit_modifiedDate,deprecato,info_idEsterno,info_idIstanzaAttivitaMassiva,info_data,audit_createdBy,audit_createdDate,info_origineInformazione,beneficiarioEstensioneBenefici,classeBenePegno,classeGaranzia,codiceIdentificativoGaranziaConsortile,codiceOriginario,concessioneEstensioneBenefici,consolidabile,consolidata,controgaranzia,coperturaGaranzia,corrispondeAllaDataCerta,dataAcquisizione,dataAtto,dataConsolidamento,dataEscussione,dataEstinzione,dataIscrizione,dataRinnovo,dataRinuncia,dataScadenza,garanziaRealeSuccessiva,numeroAtto,percentualeControgaranzia,percentualeGaranzia,periodoConsolidamento,prestataInViaSolidale,registroGenerale,registroParticolare,statoGaranzia,titolaritaBeniIpotecati,valoreAlDefault,valoreEscusso,valoreMassimoGarantito,valoreNominale,valorePrestito,valoreRivalutato,version,infoEntita_id,naturaAtto_id,posizione_id,sottotipoGaranzia_id,tipoGaranzia_id,elementoOrganizzativoConservatoria_id,contestata,escussa,prevedeSegnalazioneBI,rinnovata,valoreNominalePoziori,valoreResiduoPoziori,controgaranziaPropria,dataDeliberaControgarante,dataLiberazione,importoAccantonato,importoNonAccantonato,liberata,nomeCompletoConsorzioGaranzia,nonRinnovabile,valoreResiduo,causaleNonRinnovabilita_id,tipoEstinzioneGaranzia_id,codiceIdentificativoCaveau,codiceRiferimentoSottosistema1,codiceRiferimentoSottosistema2,codiceRiferimentoSottosistema3,codiceRiferimentoSottosistema4,codiceRiferimentoSottosistema5,dataContestazione,fondiario,materialita,numeroGaranzia,numeroPreAtto,raccolta,repertorio,solvibilita,elementoOrganizzativoFilialeOrigine_id,statoGaranziaEsteso_id,attoMutuo_id,ipotecaFrazionata,percAssetNonFinanziato,valoreAssetAGaranzia,descrizioneLineaGarantita,codiceIdentificativoControgaranzia,contattoCreditoreOriginario_id,valoreGarantito
58,-1,06:57.3,,320936_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,00:00.0,,,,87558,,,1,,,15680,1,1,,,,"45,000","31,841.43",,1,,,"782,210",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,-1,06:57.3,,321935_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,,,,,,,,2,,,5784,1,1,,,,"16,270.25","30,000",,1,,,"515,248",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,-1,06:57.3,,324403_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,00:00.0,,,,19040,,,1,,,4248,1,1,,,,"21,000","10,500",,1,,,"783,250",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,-1,06:57.3,,324405_1,,,-1,06:57.3,1,,,2,,,0,1,,,0,,00:00.0,00:00.0,00:00.0,,,,,,,,138921,,,1,,,36000,1,1,,,,"300,000","150,000",,1,,,"543,019",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,-1,06:57.3,,324948_1,,,-1,06:57.3,1,,,2,,,0,1,1,,0,,00:00.0,00:00.0,00:00.0,,,,,,,,144211,,,2,,,28926,1,1,,,,"15,000","10,399.66",,1,,,"516,376",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,-1,06:57.3,,326134_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,00:00.0,,,,4997,,,1,,,985,1,1,,,,"20,000","12,380",,1,,,"539,540",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,-1,06:57.3,,326154_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,,,,,387,,,2,,,72,1,1,,,,"35,000","25,688.02",,1,,,"539,554",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,-1,06:57.3,,326636_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,,,,,,,,1,,,4486,1,1,,,,"15,000","10,135.65",,1,,,"540,021",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,-1,06:57.3,,327060_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,,,,,18083,,,1,,,4043,1,1,,,,"30,000","21,617.13",,1,,,"540,418",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,-1,06:57.3,,327106_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,,,,,62805,,,1,,,13276,1,1,,,,"20,000","13,099.09",,1,,,"540,464",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,-1,06:57.3,,327248_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,,,,,4213,,,2,,,707,1,1,,,,"26,400","13,207.39",,1,,,"540,593",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,-1,06:57.3,,328080_1,,,-1,06:57.3,1,,,2,,,0,1,0,,0,,00:00.0,00:00.0,00:00.0,,,,00:00.0,,,,10668,,,1,,,2301,1,1,,,,"39,600","19,845.50",,1,,,"541,389",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
